Ticker,Date,Company Name,Sector,Price,Size,1,2,3,Turnover,Gain,Year
DLO,Jun 3,DLocal Limited,Technology,21.0,29.0,JPM,GS,CITI,0.0,-1.0,2021
MQ,Jun 9,Marqeta Inc.,Technology,27.0,45.0,GS,JPM,,0.648,0.13,2021
ZETA,Jun 10,Zeta Global Holdings Corp.,Technology,10.0,21.0,GS,JPM,,0.491,-0.111,2021
MNDY,Jun 10,monday.com Ltd.,Technology,155.0,3.0,GS,JPM,JEFF,0.643,0.154,2021
LFST,Jun 10,LifeStance Health Group Inc.,Health-Care,18.0,40.0,MS,GS,JPM,0.41,0.217,2021
DIBS,Jun 10,1stdibs.com Inc.,Consumer-Services,20.0,5.0,BAML,BRCL,ALLN,0.945,0.425,2021
TASK,Jun 11,TaskUs Inc.,Technology,23.0,13.0,GS,JPM,BAML,0.561,0.35200000000000004,2021
BZ,Jun 11,Kanzhun Ltd.,Technology,19.0,48.0,GS,MS,UBS,0.348,0.958,2021
JANX,Jun 11,Janux Therapeutics Inc.,Health-Care,17.0,11.0,BAML,COWN,EVCR,0.209,0.479,2021
ALZN,Jun 15,Alzamend Neuro Inc.,Health-Care,5.0,2.0,SPRT,,,0.204,1.018,2021
WKME,Jun 16,WalkMe Ltd.,Technology,31.0,9.0,MS,GS,CITI,0.1,-0.07200000000000001,2021
MOLN,Jun 16,MOLECULAR PARTNERS AG,Health-Care,21.3,3.0,JPM,SVB,COWN,0.267,-0.07,2021
CNVY,Jun 16,Convey Holding Parent Inc.,Consumer-Services,14.0,13.0,BAML,GS,JPM,0.073,-0.09699999999999999,2021
VERV,Jun 17,Verve Therapeutics Inc.,Health-Care,19.0,14.0,JPM,GGNH,WB,0.298,0.68,2021
LYEL,Jun 17,Lyell Immunopharma Inc.,Health-Care,17.0,25.0,GS,BAML,,0.17600000000000002,-0.006,2021
ISPC,Jun 17,iSpecimen Inc.,Health-Care,8.0,2.0,TEq,,,0.85,-0.106,2021
AOMR,Jun 17,Angel Oak Mortgage Inc.,Finance,19.0,8.0,WLFG,BAML,MS,0.184,-0.018000000000000002,2021
TRMR,Jun 18,Tremor International Ltd.,Technology,19.0,6.0,RBC,Stifel,JMPS,0.452,-0.09300000000000001,2021
FEMY,Jun 18,Femasys Inc.,Health-Care,13.0,2.0,CHRD,JT,,0.46399999999999997,-0.025,2021
CYT,Jun 18,Cyteir Therapeutics Inc.,Health-Care,18.0,7.0,JPM,MS,BAML,0.225,-0.061,2021
DNAY,Jun 18,Codex DNA Inc.,Health-Care,0.0,6.0,JEFF,COWN,KEYB,0.556,0.0,2021
IPSC,Jun 18,Century Therapeutics Inc.,Health-Care,20.0,10.0,JPM,BAML,SVB,0.23,0.142,2021
ATA,Jun 18,ATAI Life Sciences B.V.,Health-Care,15.0,15.0,CS,CITI,COWN,0.585,0.297,2021
AMAM,Jun 18,Ambrx Biopharma Inc.,Health-Care,18.0,7.0,GS,BAML,COWN,0.214,-0.053,2021
