,Ticker,Trade Date,Company,Lead/Joint-Lead Mangers,Offer Price,Opening Price,1st Day Close,1st Day Percent Change,Change Opening,Change Close,Star Ratings,Year,Underpriced
2287,AFMD,2014-09-12,Affimed Therapeutics B.V. ,"['Jefferies', 'Leerink Partners', 'BMO Capital Markets']",7.0,6.83,5.7,-0.18571429,-0.17,-1.3,2,2014,True
2288,RWLK,2014-09-12,ReWalk Robotics ,"['Barclays', 'Jefferies']",12.0,12.0,25.6,1.1333333,0.0,13.6,1,2014,False
2289,CIVI,2014-09-17,Civitas Solutions  ,"['Barclays', 'Jefferies', 'BofA Merrill Lynch', 'UBS Investment Bank']",17.0,17.0,16.61,-0.022941176,0.0,-0.39,1,2014,True
2290,TKAI,2014-09-17,Tokai Pharmaceuticals  ,"['BMO Capital Markets', 'Stifel', 'William Blair']",15.0,18.63,23.76,0.584,3.63,8.76,2,2014,False
2291,FOMX,2014-09-18,Foamix Ltd.   ,"['Barclays', 'Cowen and Company']",6.0,8.0,6.22,0.036666665,2.0,0.22,1,2014,False
2292,PRQR,2014-09-18,ProQR Therapeutics B.V.  ,"['Leerink Partners', 'Deutsche Bank Securities']",13.0,19.9,14.73,0.13307692,6.9,1.73,2,2014,False
2293,BABA,2014-09-19,Alibaba Group Holding  ,"['Credit Suisse', 'Deutsche Bank Securities', 'Goldman Sachs', 'J.P. Morgan', 'Morgan Stanley', 'Citi']",68.0,92.7,93.89,0.3807353,24.7,25.89,4,2014,False
2294,CFG,2014-09-24,Citizens Financial Group   ,"['Morgan Stanley', 'Goldman Sachs']",21.5,21.5,23.08,0.07348837,0.0,1.58,1,2014,False
2295,CYBR,2014-09-24,CyberArk Software ,"['J.P. Morgan', 'Deutsche Bank Securities', 'Barclays']",16.0,25.0,29.93,0.870625,9.0,13.93,3,2014,False
2296,MDLY,2014-09-24,Medley Management  ,"['Goldman Sachs', 'Credit Suisse']",18.0,16.99,16.4,-0.08888889,-1.01,-1.6,1,2014,True
2297,SFS,2014-09-24,Smart & Final Stores ,"['Credit Suisse', 'Morgan Stanley', 'Deutsche Bank Securities']",12.0,13.1,12.01,0.00083333335,1.1,0.01,3,2014,False
2298,VTAE,2014-09-24,Vitae Pharmaceuticals   ,"['Stifel', 'BMO Capital Markets']",8.0,8.0,7.61,-0.04875,0.0,-0.39,2,2014,True
2299,CNNX,2014-09-25,CONE Midstream Partners LP  ,"['Wells Fargo Securities', 'BofA Merrill Lynch', 'Baird']",22.0,28.5,30.4,0.38181818,6.5,8.4,3,2014,False
2300,TVPT,2014-09-25,Travelport Worldwide LTD ,"['Morgan Stanley', 'UBS Securities', 'Credit Suisse', 'Deutsche Bank Securities']",16.0,17.69,16.4,0.025,1.69,0.4,1,2014,False
2301,CADTU,2014-10-01,DT Asia Investments Ltd  ,['EarlyBirdCapital'],10.0,10.0,9.99,-0.001,0.0,-0.01,1,2014,True
2302,VBLT,2014-10-01,Vascular Biogenics   ,"['Deutsche Bank Securities', 'Wells Fargo Securities']",6.0,6.02,5.85,-0.025,0.02,-0.15,1,2014,True
2303,VSLR,2014-10-01,Vivint Solar  ,"['Goldman Sachs', 'BofA Merrill Lynch', 'Credit Suisse']",16.0,17.38,16.01,0.000625,1.38,0.01,3,2014,False
2304,AAC,2014-10-02,AAC Holdings  ,"['William Blair', 'Raymond James']",15.0,20.0,18.5,0.23333333,5.0,3.5,2,2014,False
2305,AUMAU,2014-10-02,AR Capital Acquisition   ,['Citigroup'],10.0,9.66,9.74,-0.026,-0.34,-0.26,1,2014,True
2306,ATTO,2014-10-02,Atento S.A.   ,"['Morgan Stanley', 'Credit Suisse', 'Itaú BBA']",15.0,13.75,12.96,-0.136,-1.25,-2.04,1,2014,True
2307,CALA,2014-10-02,Calithera Biosciences  ,"['Citigroup', 'Leerink Partners', 'Wells Fargo Securities', 'JMP Securities']",10.0,10.22,9.41,-0.059,0.22,-0.59,1,2014,True
2308,JPEP,2014-10-02,JP Energy Partners LP ,"['Barclays', 'BofA Merrill Lynch']",20.0,20.5,19.11,-0.0445,0.5,-0.89,1,2014,True
2309,VWR,2014-10-02,VWR Corp ,"['BofA Merrill Lynch', 'Goldman Sach', 'J.P. Morgan']",21.0,21.0,21.05,0.0023809525,0.0,0.05,1,2014,False
2310,W,2014-10-02,Wayfair  ,"['Goldman Sachs', 'BofA Merrill Lynch', 'Citigroup']",29.0,36.0,37.72,0.30068967,7.0,8.72,3,2014,False
2311,DERM,2014-10-03,Dermira ,"['Citigroup', 'Leerink Partners']",16.0,18.0,15.55,-0.028125,2.0,-0.45,1,2014,True
2312,FMSA,2014-10-03,FMSA,"['Morgan Stanley', 'Wells Fargo Securities', 'Barclays']",16.0,16.55,16.01,0.000625,0.55,0.01,1,2014,False
2313,YDLE,2014-10-03,Yodlee  ,"['Goldman Sachs', 'Credit Suisse', 'BofA Merrill Lynch']",12.0,18.81,13.44,0.12,6.81,1.44,3,2014,False
2314,ECC,2014-10-08,Eagle Point Credit ,"['Deutsche Bank Securities', 'Keefe, Bruyette & Woods (A Stifel Company)', 'Wunderlich Securities', 'JMP Securities', 'National Securities', 'MUFG', 'Sterne Agee', 'Compass Point']",20.0,19.2,19.16,-0.042,-0.8,-0.84,1,2014,True
2315,HUBS,2014-10-09,HubSpot ,"['Morgan Stanley', 'J.P. Morgan', 'UBS Securitie']",25.0,32.95,30.1,0.204,7.95,5.1,3,2014,False
2316,MOLG,2014-10-09,MOL Global   ,"['Citigroup', 'Credit Suisse', 'Deutsche Bank Securities', 'UBS Investment Bank (In alphabetical order)']",12.5,10.75,8.14,-0.3488,-1.75,-4.36,1,2014,True
2317,OMAM,2014-10-09,OM Asset Management Ltd ,"['BofA Merrill Lynch', 'Morgan Stanley', 'Citigroup', 'Credit Suisse']",14.0,14.0,13.95,-0.0035714286,0.0,-0.05,1,2014,True
2318,USDP,2014-10-09,USD Partners LP  ,"['Citigroup', 'Barclays', 'Credit Suisse', 'BofA Merrill Lynch']",17.0,15.8,16.0,-0.05882353,-1.2,-1.0,1,2014,True
2319,VBTX,2014-10-09,Veritex Holdings  ,"['Sandler ONeill + Partners', 'Stephens']",13.0,14.0,13.95,0.073076926,1.0,0.95,1,2014,False
2320,PLAY,2014-10-10,Dave & Buster's Entertainment  ,"['Jefferies', 'Piper Jaffray']",16.0,17.0,17.28,0.08,1.0,1.28,2,2014,False
2321,DPLO,2014-10-10,Diplomat Pharmacy  ,"['Credit Suisse', 'Morgan Stanley', 'J.P. Morgan', 'Wells Fargo Securities', 'William Blair', 'Leerink Partners']",13.0,16.0,16.02,0.23230769,3.0,3.02,2,2014,False
2322,DM,2014-10-15,"Dominion Midstream Partners, LP   (DM)","['Barclays', 'Citigroup', 'J.P. Morgan']",21.0,22.5,26.41,0.25761905,1.5,5.41,2,2014,False
2323,FWP,2014-10-15,Forward Pharma A/S  ,"['Leerink Partners', 'Jefferies', 'RBC Capital Markets']",21.0,18.99,17.5,-0.16666667,-2.01,-3.5,2,2014,True
2324,GWB,2014-10-15,Great Western Bancorp ,"['Deutsche Bank Securities', 'BofA Merrill Lynch']",18.0,18.0,18.0,0.0,0.0,0.0,1,2014,False
2325,ATRA,2014-10-16,Atara Biotherapeutics ,"['Goldman Sachs', 'Citigroup']",11.0,9.89,10.65,-0.03181818,-1.11,-0.35,1,2014,True
2326,ZAYO,2014-10-17,Zayo Group Holdings ,"['Morgan Stanley', 'Barclays', 'Goldman Sachs']",19.0,21.5,22.0,0.15789473,2.5,3.0,1,2014,False
2327,PRTO,2014-10-22,Proteon Therapeutics ,"['Stifel', 'JMP Securities']",10.0,11.3,10.03,0.003,1.3,0.03,1,2014,False
2328,HDRAU,2014-10-24,Hydra Industries Acquisition  ,['UBS Investment Bank'],10.0,9.78,9.93,-0.007,-0.22,-0.07,1,2014,True
2329,SHLX,2014-10-29,"Shell Midstream Partners, L.P.  ","['Barclays', 'Citigroup', 'Morgan Stanley', 'UBS Investment Bank']",23.0,32.06,33.55,0.45869565,9.06,10.55,3,2014,False
2330,SIEN,2014-10-29,Sientra ,"['Piper Jaffray', 'Stifel']",15.0,16.74,16.75,0.11666667,1.74,1.75,2,2014,False
2331,BOOT,2014-10-30,Boot Barn Holdings  ,"['J.P. Morgan', 'Piper Jaffray', 'Jefferies']",16.0,19.0,17.45,0.090625,3.0,1.45,2,2014,False
2332,FSAM,2014-10-30,Fifth Street Asset Management  ,"['Morgan Stanley', 'J.P. Morgan', 'Goldman Sachs', 'RBC Capital Markets', 'Credit Suisse', 'SMBC Nikko']",17.0,16.0,13.37,-0.21352941,-1.0,-3.63,1,2014,True
2333,AM,2014-11-05,Antero Midstream Partners LP  (AM),"['Barclays', 'Citigroup', 'Wells Fargo Securities']",25.0,30.5,28.03,0.1212,5.5,3.03,3,2014,False
2334,XENE,2014-11-05,Xenon Pharmaceuticals  ,"['Jefferies', 'Wells Fargo Securities']",9.0,10.02,10.5,0.16666667,1.02,1.5,1,2014,False
2335,CHRS,2014-11-06,Coherus BioSciences ,"['J.P. Morgan', 'Credit Suisse']",13.5,12.51,12.61,-0.065925926,-0.99,-0.89,2,2014,True
2336,NVRO,2014-11-06,Nevro ,"['J.P. Morgan', 'Morgan Stanley']",18.0,23.4,25.19,0.39944443,5.4,7.19,3,2014,False
2337,UPLD,2014-11-06,Upland Software ,"['William Blair', 'Raymond James']",12.0,11.0,9.75,-0.1875,-1.0,-2.25,1,2014,True
2338,FRPT,2014-11-07,Freshpet ,"['Goldman Sachs', 'Credit Suisse']",15.0,19.75,19.11,0.274,4.75,4.11,3,2014,False
2339,INCR,2014-11-07,INC Research Holdings ,"['Goldman Sachs', 'Credit Suisse', 'Baird', 'Wells Fargo Securities', 'William Blair']",18.5,20.1,20.49,0.10756757,1.6,1.99,2,2014,False
2340,TBK,2014-11-07,Triumph Bancorp  ,"['Sandler ONeill & Partners', 'Evercore Group', 'Wells Fargo']",12.0,12.18,12.75,0.0625,0.18,0.75,1,2014,False
2341,JYNT,2014-11-10,Joint Corp. (The)   ,"['Roth Capital Partners', 'Feltl and Company']",6.5,6.62,6.58,0.012307692,0.12,0.08,1,2014,False
2342,AXTA,2014-11-12,Axalta Coating Systems Ltd   ,"['Citigroup', 'Goldman Sachs', 'Deutsche Bank Securities', 'J.P. Morgan', 'BofA Merrill Lynch', 'Barclays', 'Credit Suisse', 'Morgan Stanley']",19.5,20.94,20.75,0.06410257,1.44,1.25,2,2014,False
2343,CAPN/CAPNW,2014-11-13,Capnia  ,['Maxim Group LLC'],6.5,5.8,4.51,-0.30615383,-0.7,-1.99,1,2014,True
2344,NAP,2014-11-13,Navios Maritime Midstream Partners LP ,"['BofA Merrill Lynch', 'Citigroup', 'Credit Suisse', 'J.P. Morgan']",15.0,13.2,13.8,-0.08,-1.8,-1.2,1,2014,True
2345,PRAH,2014-11-13,PRA Health Sciences  ,"['Jefferies', 'Citigroup', 'KKR', 'UBS Investment Bank', 'Credit Suisse', 'Wells Fargo Securities']",18.0,18.87,19.62,0.09,0.87,1.62,1,2014,False
2346,SKYS,2014-11-13,Sky Solar Holdings ,['Roth Capital Partners'],8.0,8.26,9.15,0.14375,0.26,1.15,1,2014,False
2347,FGEN,2014-11-14,FibroGen ,"['Goldman Sachs', 'Citigroup', 'Leerink Partners']",18.0,23.0,22.0,0.22222222,5.0,4.0,3,2014,False
2348,LMRK,2014-11-14,Landmark Infrastructure Partners LP ,"['Baird', 'Raymond James', 'RBC Capital Markets']",19.0,18.75,19.09,0.004736842,-0.25,0.09,1,2014,False
2349,NDRM,2014-11-14,NeuroDerm,"['Jefferies', 'Cowen and Company']",10.0,9.45,9.15,-0.085,-0.55,-0.85,1,2014,True
2350,VA,2014-11-14,Virgin America   ,"['Barclays', 'Deutsche Bank Securities']",23.0,27.0,30.0,0.3043478,4.0,7.0,2,2014,False
2351,EHIC,2014-11-17,eHi Car Services Ltd  ,"['J.P. Morgan', 'Goldman Sachs (Asia)']",12.0,12.0,11.7,-0.025,0.0,-0.3,2,2014,True
2352,STOR,2014-11-17,STORE Capital ,"['Goldman Sachs', 'Credit Suisse', 'Morgan Stanley']",18.5,19.61,19.5,0.054054055,1.11,1.0,1,2014,False
2353,PGRE,2014-11-18,Paramount Group  ,"['BofA Merrill Lynch', 'Morgan Stanley', 'Wells Fargo Securities']",17.5,18.25,18.18,0.038857143,0.75,0.68,2,2014,False
2354,CNV,2014-11-20,Cnova N.V.  ,"['Morgan Stanley', 'J.P. Morgan', 'BofA Merrill Lynch', 'Credit Suisse', 'Deutsche Bank Securities']",7.0,7.63,7.15,0.021428572,0.63,0.15,1,2014,False
