DATE,LRUN64TTUSM156S
1970-01-01,3.88134151987398
1970-02-01,4.21069097845808
1970-03-01,4.38196025671271
1970-04-01,4.60092971875163
1970-05-01,4.68501363765419
1970-06-01,5.02158208770663
1970-07-01,5.16660989925243
1970-08-01,5.28052501471258
1970-09-01,5.54340849386428
1970-10-01,5.7068110797133
1970-11-01,5.92890727609708
1970-12-01,6.05459960253124
1971-01-01,5.97496192617331
1971-02-01,5.94490795040768
1971-03-01,6.01794413207285
1971-04-01,5.99919896460067
1971-05-01,6.01395365313122
1971-06-01,5.94378493309335
1971-07-01,6.09054262480337
1971-08-01,6.20823566955396
1971-09-01,6.12897945440524
1971-10-01,6.02017778649804
1971-11-01,6.10036382967882
1971-12-01,6.01955668173216
1972-01-01,5.9092345122985
1972-02-01,5.77070539778853
1972-03-01,5.87596619143323
1972-04-01,5.81939306400524
1972-05-01,5.75290941483242
1972-06-01,5.68905302205557
1972-07-01,5.72706708774351
1972-08-01,5.73321462948437
1972-09-01,5.6604645670661
1972-10-01,5.66446922171004
1972-11-01,5.27877852454216
1972-12-01,5.16673544005623
1973-01-01,4.99660522103919
1973-02-01,5.0876597216967
1973-03-01,4.99969941697047
1973-04-01,5.08565981508207
1973-05-01,4.92665085896773
1973-06-01,4.97345075204686
1973-07-01,4.92532791251346
1973-08-01,4.89378254775218
1973-09-01,4.92549348660691
1973-10-01,4.67791881408706
1973-11-01,4.87346775174885
1973-12-01,4.9484627160981
1974-01-01,5.12515410512692
1974-02-01,5.19658489593719
1974-03-01,5.10296951874111
1974-04-01,5.0929923025243
1974-05-01,5.19919159167445
1974-06-01,5.47201230241717
1974-07-01,5.59837103559836
1974-08-01,5.55223175792246
1974-09-01,6.02948327422422
1974-10-01,6.10692564134362
1974-11-01,6.6831871876949
1974-12-01,7.24456761393846
1975-01-01,8.16925281860136
1975-02-01,8.25001125029912
1975-03-01,8.72683788584506
1975-04-01,8.95338787485722
1975-05-01,9.18347725731936
1975-06-01,8.61371653398347
1975-07-01,8.5889913212418
1975-08-01,8.55201601212367
1975-09-01,8.62296744269704
1975-10-01,8.56389795731861
1975-11-01,8.3177134396524
1975-12-01,8.27485969707064
1976-01-01,7.99974616914992
1976-02-01,7.84500174165364
1976-03-01,7.70703925343814
1976-04-01,7.75499383585451
1976-05-01,7.4715353306163
1976-06-01,7.571668319512
1976-07-01,7.71916846564122
1976-08-01,7.86788407161184
1976-09-01,7.81268963533263
1976-10-01,7.83742657476613
1976-11-01,7.89618764668038
1976-12-01,7.89099371056818
1977-01-01,7.55056757952397
1977-02-01,7.72131348782365
1977-03-01,7.56685491897902
1977-04-01,7.23082661763036
1977-05-01,7.06292856056782
1977-06-01,7.18689813841521
1977-07-01,6.93747329234776
1977-08-01,7.06856625203107
1977-09-01,6.90856431556437
1977-10-01,6.8773338384088
1977-11-01,6.81167380060364
1977-12-01,6.41313107870544
1978-01-01,6.47357445633061
1978-02-01,6.33482489036377
1978-03-01,6.3527715932883
1978-04-01,6.09283338921679
1978-05-01,6.04503553728283
1978-06-01,5.94890571261305
1978-07-01,6.22915999282074
1978-08-01,6.0199155146856
1978-09-01,6.04913472727926
1978-10-01,5.89140518512425
1978-11-01,5.94228024418704
1978-12-01,6.09665235072792
1979-01-01,5.91154418010139
1979-02-01,5.94277739446634
1979-03-01,5.90543092749504
1979-04-01,5.84224321940581
1979-05-01,5.6869534146474
1979-06-01,5.80897935594565
1979-07-01,5.8278362532317
1979-08-01,6.10215947041604
1979-09-01,5.95147582544
1979-10-01,6.06713561843289
1979-11-01,6.00519285266658
1979-12-01,6.09529131068165
1980-01-01,6.34112798510401
1980-02-01,6.32591776473951
1980-03-01,6.45351322039817
1980-04-01,6.99795007412924
1980-05-01,7.63173720649976
1980-06-01,7.61304078453716
1980-07-01,7.87307321233099
1980-08-01,7.87847520788726
1980-09-01,7.64368940368286
1980-10-01,7.73599222217449
1980-11-01,7.6034023249963
1980-12-01,7.41526497715581
1981-01-01,7.57283234562933
1981-02-01,7.49238125915141
1981-03-01,7.49598367880938
1981-04-01,7.36443406001087
1981-05-01,7.64461507004422
1981-06-01,7.53452968946658
1981-07-01,7.37535967752378
1981-08-01,7.53821517086657
1981-09-01,7.74743100565738
1981-10-01,8.10119858124975
1981-11-01,8.43949273013271
1981-12-01,8.80486984919183
1982-01-01,8.75235755257842
1982-02-01,8.96196549036054
1982-03-01,9.22316080395241
1982-04-01,9.57004424535127
1982-05-01,9.68855373587162
1982-06-01,9.62850862864961
1982-07-01,9.93011600817549
1982-08-01,10.035259904137
1982-09-01,10.3410368348877
1982-10-01,10.6603214099871
1982-11-01,10.9675843533901
1982-12-01,11.1280061245153
1983-01-01,10.5961164438548
1983-02-01,10.554849710107
1983-03-01,10.5470637009524
1983-04-01,10.4741322252482
1983-05-01,10.3929782808795
1983-06-01,10.0583869618269
1983-07-01,9.49806793648035
1983-08-01,9.61587736957152
1983-09-01,9.32188529863973
1983-10-01,9.0436303441554
1983-11-01,8.64587172785413
1983-12-01,8.52155214589006
1984-01-01,8.1585180492473
1984-02-01,7.89666360092518
1984-03-01,7.88808420762689
1984-04-01,7.91161470584508
1984-05-01,7.61830341941033
1984-06-01,7.3203403121152
1984-07-01,7.5648821332693
1984-08-01,7.588729999836
1984-09-01,7.48677115304103
1984-10-01,7.48711013724802
1984-11-01,7.30139156459342
1984-12-01,7.44962248594877
1985-01-01,7.469348461731
1985-02-01,7.32595941512306
1985-03-01,7.34514026426421
1985-04-01,7.42085111572085
1985-05-01,7.36983447650173
