Issuer Ticker,Issuer Name,Announced Date,Pricing Date,Industry Sector,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Market Cap at Offer (M)
0404579D,Landacorp,9/20/1999,2/8/2000,Technology,,,13.3,35,13.2599,132.599
CYCO,Cypress Communications,12/2/1999,2/9/2000,Communications,,,-72.5,170,45.8564,779.559
OGNC,Organic,11/24/1999,2/9/2000,Technology,,,-93,110,78.8572,1577.14
QVDX,Healthvision,11/2/1999,2/9/2000,Technology,1.2,-15.5,6,90,15.3682,276.628
715097Q,Lightspan,11/1/1999,2/9/2000,Technology,-13,-72.2,-35.7,90,40.1586,481.9
WITS,Witness Systems,11/22/1999,2/9/2000,Technology,,,-0.0244652,76,21.0796,421.592
VNWI,Via Net.Works,11/24/1999,2/10/2000,Communications,55.5,-52.7,-73.4,300.3,56.0688,1177.44
3208542Q,Software AG USA,11/19/1999,2/10/2000,Technology,-3.7,-9.1,-6,143.5,31.22,1092.7
BBGI,Beasley Broadcast Group,11/24/1999,2/10/2000,Communications,17.1,-0.5,-1.2,106.175,0,0
IPETZ,IPET Holdings/United State,12/8/1999,2/10/2000,Communications,,-1067.5,,82.5,26.3924,290.316
LNTE,Lante,1/12/2000,2/10/2000,Technology,-44.9,-45.7,-45.8,80,38.4899,769.798
FRGO,Fargo Electronics,11/15/1999,2/10/2000,Industrial,,,13.1,75,11.7656,176.484
SVVS,SAVVIS,12/30/1999,2/14/2000,Technology,6.7,-5.7,-3.9,408,92.6109,2222.66
VRNM,BASF Enzymes,12/16/1999,2/14/2000,"Consumer, Non-cyclical",-6.6,31.8,-29.1,174,32.8114,787.474
2096692D,Chordiant Software,12/6/1999,2/14/2000,Technology,,,-8.2,81,34.8183,626.729
VSTY,Varsity Group/DC,10/14/1999,2/14/2000,Communications,-17.6,-22.3,-54.3,40.75,15.6,156
VMDC,Vantagemed,11/24/1999,2/14/2000,Technology,,,-42.3,36,8.64845,103.781
ERBA,ERBA Diagnostics,10/6/1999,2/14/2000,"Consumer, Non-cyclical",-6.6,1.7,-6.5,32,6.54013,52.321
SDRV,Stardrive Solutions,6/17/1999,2/14/2000,Communications,118.8,-3181,-73.3,16.8,2.8,33.6
2960654Q,LendingTree,1/27/2000,2/15/2000,Communications,74,7.9,34.7,43.8,17.2152,206.58
CWONQ,One Communications,11/19/1999,2/16/2000,Communications,,,-41.2,142.9,29.938,598.76
APRS,Apropos Technology,11/12/1999,2/16/2000,Communications,,,-2.5,81.4,13.2451,291.392
52245Q,Eloquent,10/22/1999,2/16/2000,Communications,-63.9,-381.2,-50.6,72,16.9173,270.677
WFSM,Westborough Financial Services,6/7/1999,2/16/2000,Financial,,,-0.5,15.8137,0,0
1638709D,Inforte,12/8/1999,2/17/2000,Technology,4,-8.2,-7.2,64,11.7212,375.078
1902177D,Nextel Partners,1/27/2000,2/22/2000,Communications,,,23.9,470,158.928,3178.56
ISIL,Renesas Electronics America In,1/21/2000,2/24/2000,Technology,3.9,8.8,4.1,500,90.484,2262.1
3518429Q,Hotels.com,11/9/1999,2/24/2000,"Consumer, Cyclical",76.2,7.6,9.7,86.4,54.399,870.384
DTHK,Digitalthink,12/10/1999,2/24/2000,Communications,,,-26,61.6,33.1433,464.006
NIKU,Niku,12/22/1999,2/28/2000,Technology,,,7.9,192,69.0442,1657.06
AQNT,aQuantive,12/8/1999,2/28/2000,Communications,,,6.4,126,55.673,1336.15
NTGX,Net.Genesis,12/22/1999,2/28/2000,Communications,279.5,-92.1,-62.3,76.5,20.4598,368.28
ONVI,Onvia,12/21/1999,2/29/2000,Communications,4.1,-3.3,-14.8,168,78.8474,1655.8
984185Q,Matrixone,12/14/1999,2/29/2000,Communications,13.2,-16.3,-10.7,125,38.1582,953.955
PALM,Palm,12/13/1999,3/1/2000,Technology,,,-42.4,874,560.921,21315
SBMC,Connecticut Bancshares/de,11/12/1999,3/1/2000,Financial,-3.4,25.8,1,104,0,0
SWBD,Switchboard,10/29/1999,3/1/2000,Communications,29.3,13.6,2.8,82.5,23.7164,355.746
1435766D,Register.com,12/23/1999,3/2/2000,Communications,,,2.3,120,30.7594,738.226
VATA,Versata,12/10/1999,3/2/2000,Financial,,,-62.5,92.4,37.9688,911.251
377089Q,Prime Response,12/10/1999,3/2/2000,Communications,40.6,-95.5,,63,0,0
NTKKQ,NET2000 Communications,12/2/1999,3/6/2000,Communications,,,-55.1,200,34.8626,697.25
VRDOQ,Verado Holdings,12/22/1999,3/7/2000,Communications,417.6,-3735.6,-108.1,170,49.6081,843.338
IPRT,Iprint Technologies,12/1/1999,3/7/2000,Technology,5.1,-97.8,-156.3,45,28.9067,289.067
